DS,Y
2024-03-10T15:27:21.774917,8
2024-03-10T15:42:41.453416,7
2024-03-10T15:57:59.609024,5
2024-03-10T16:13:17.944101,5
2024-03-10T16:28:36.316126,5
2024-03-10T16:43:54.104321,4
2024-03-10T16:59:15.930723,2
2024-03-10T17:14:34.571381,1
2024-03-10T17:29:53.120009,1
2024-03-10T17:45:12.232767,0
2024-03-10T18:00:31.184816,0
2024-03-10T18:15:50.928135,0
2024-03-10T18:31:10.4962,0
2024-03-10T18:46:29.760261,0
2024-03-10T19:01:49.361154,0
2024-03-10T19:17:10.121775,0
2024-03-10T19:32:29.996756,0
2024-03-10T19:47:48.794289,0
2024-03-10T20:03:13.567584,0
2024-03-10T20:18:32.185365,0
2024-03-10T20:33:51.173041,0
2024-03-10T20:49:09.988481,0
2024-03-10T21:04:29.112592,0
2024-03-10T21:19:48.276756,0
2024-03-10T21:35:07.205307,0
2024-03-10T21:50:26.043787,0
2024-03-10T22:05:45.18351,0
2024-03-10T22:21:04.285,0
2024-03-10T22:36:23.445937,0
2024-03-10T22:51:42.911107,0
2024-03-10T23:07:00.225677,0
2024-03-10T23:22:18.570875,0
2024-03-10T23:37:37.353026,0
2024-03-10T23:52:55.256708,0
2024-03-11T00:08:13.034711,0
2024-03-11T00:23:30.73678,0
2024-03-11T00:38:52.145203,0
2024-03-11T00:54:09.921695,0
2024-03-11T01:09:27.596455,0
2024-03-11T01:24:45.710501,2
2024-03-11T01:40:04.387329,2
2024-03-11T01:55:22.871301,2
2024-03-11T02:10:42.477436,2
2024-03-11T02:25:59.805599,2
2024-03-11T02:41:17.704569,2
2024-03-11T02:56:35.039699,2
2024-03-11T03:11:53.027222,2
2024-03-11T03:27:10.61377,2
2024-03-11T03:42:27.934596,2
2024-03-11T03:57:47.15418,2
2024-03-11T04:13:04.705917,2
2024-03-11T04:28:22.902855,2
2024-03-11T04:43:42.378421,2
2024-03-11T04:59:00.910463,2
2024-03-11T05:14:18.68252,2
2024-03-11T05:29:36.917995,2
2024-03-11T05:44:55.705876,2
2024-03-11T06:00:13.961272,2
2024-03-11T06:15:32.954416,2
2024-03-11T06:30:51.923057,2
2024-03-11T06:46:09.887046,2
2024-03-11T07:01:29.001611,2
2024-03-11T07:16:46.617103,4
2024-03-11T07:32:05.639323,5
2024-03-11T07:47:25.342089,5
2024-03-11T08:02:47.828337,7
2024-03-11T08:18:06.443941,8
2024-03-11T08:33:24.081956,9
2024-03-11T08:48:44.792509,9
2024-03-11T09:04:04.340068,9
2024-03-11T09:19:24.606732,10
2024-03-11T09:34:45.557564,10
2024-03-11T09:50:04.565447,11
2024-03-11T10:05:23.755942,11
2024-03-11T10:20:44.021216,10
2024-03-11T10:36:03.55508,9
2024-03-11T10:51:21.551626,10
2024-03-11T11:06:41.051874,9
2024-03-11T11:21:59.515917,9
2024-03-11T11:37:18.387544,7
2024-03-11T11:52:35.849548,7
2024-03-11T12:07:54.321482,6
2024-03-11T12:23:12.087033,6
2024-03-11T12:38:29.955567,6
2024-03-11T12:53:47.773222,5
2024-03-11T13:09:05.90072,4
2024-03-11T13:24:24.143864,4
2024-03-11T13:39:43.592389,4
2024-03-11T13:55:02.9686,4
2024-03-11T14:10:22.702385,4
2024-03-11T14:25:41.463792,3
2024-03-11T14:41:01.203082,3
2024-03-11T14:56:20.034228,3
2024-03-11T15:11:39.877352,4
2024-03-11T15:26:57.945581,3
2024-03-11T15:43:01.655558,3
2024-03-11T15:59:04.590152,3
2024-03-11T16:14:23.669874,2
2024-03-11T16:29:46.095001,1
2024-03-11T16:45:11.1043,2
2024-03-11T17:00:30.270147,2
2024-03-11T17:15:53.455129,2
2024-03-11T17:31:12.925618,2
2024-03-11T17:46:31.368182,2
2024-03-11T18:01:50.196714,2
2024-03-11T18:17:11.371766,1
2024-03-11T18:32:30.749207,2
2024-03-11T18:47:50.448455,2
2024-03-11T19:03:08.553037,2
2024-03-11T19:18:27.144416,2
2024-03-11T19:33:46.221397,2
2024-03-11T19:49:05.347996,1
2024-03-11T20:04:26.339789,1
2024-03-11T20:19:47.688869,1
2024-03-11T20:35:07.527946,1
2024-03-11T20:50:28.601812,1
2024-03-11T21:05:48.303874,1
2024-03-11T21:21:07.522017,1
2024-03-11T21:36:25.514559,1
2024-03-11T21:51:45.778629,1
2024-03-11T22:07:04.042305,1
2024-03-11T22:22:21.295084,1
2024-03-11T22:37:38.79935,1
2024-03-11T22:52:56.500319,1
2024-03-11T23:08:13.688821,1
2024-03-11T23:23:31.662854,1
2024-03-11T23:38:48.564211,1
2024-03-11T23:54:06.701975,1
2024-03-12T00:09:24.009442,1
2024-03-12T00:24:42.688705,1
2024-03-12T00:40:00.897102,1
2024-03-12T00:55:18.791737,1
2024-03-12T01:10:36.845796,1
2024-03-12T01:25:55.632934,2
2024-03-12T01:41:13.287598,2
2024-03-12T01:56:31.056016,2
2024-03-12T02:11:48.943584,2
2024-03-12T02:27:06.982215,2
2024-03-12T02:42:24.929383,2
2024-03-12T02:57:43.999429,2
2024-03-12T03:13:01.97686,2
2024-03-12T03:28:19.569038,2
2024-03-12T03:43:37.16293,2
2024-03-12T03:58:54.815993,2
2024-03-12T04:14:13.89973,2
2024-03-12T04:29:31.844809,2
2024-03-12T04:44:49.585849,2
2024-03-12T05:00:07.939934,2
2024-03-12T05:15:26.61809,2
2024-03-12T05:30:47.770313,2
2024-03-12T05:46:06.439637,2
2024-03-12T06:01:24.839745,2
2024-03-12T06:16:44.163745,2
2024-03-12T06:32:03.633814,3
2024-03-12T06:47:22.963687,4
2024-03-12T07:02:44.103134,4
2024-03-12T07:18:04.112855,5
2024-03-12T07:33:23.823932,6
2024-03-12T07:48:44.729246,8
2024-03-12T08:04:04.24351,8
2024-03-12T08:19:22.583504,7
2024-03-12T08:34:42.225126,7
2024-03-12T08:50:01.970196,7
2024-03-12T09:05:21.396558,6
2024-03-12T09:20:40.415774,6
2024-03-12T09:36:00.747561,7
2024-03-12T09:51:20.123468,6
2024-03-12T10:06:38.574245,5
2024-03-12T10:21:58.148896,5
2024-03-12T10:37:16.525727,5
2024-03-12T10:52:35.795478,5
2024-03-12T11:07:55.406584,5
2024-03-12T11:23:14.222324,5
2024-03-12T11:38:31.847351,5
